year,2-at-a-time,afterthought-heel,andean,aran,bavarian,bias,bobble-or-popcorn,bottom-up,brioche-tuck,buttonholes,cables,captioned-video,chart,chevron,color-blind-accessible,corrugated-ribbing,danish,doubleknit,dropped-stitches,dutch-heel,elastic,entrelac,estonian,eyelets,fairisle,faroese,felted,finnish,freeform,guernsey,gusset,heel-flap,icelandic,icord,illusion,in-the-round,Intarsia,irish,kitchener,lace,latvian,low-vision,machine-instructions,mesh,modular,moebius,mosaic,motifs,norwegian,noshaping,one-piece,orenburg,other-colorwork,other-heel,other-toe,pattern-recipe,phototutorial,provisional,reversible,ribbed,ripple,sami,schematic,screen-reader,seamed,seamed-sock,seamless,selvedge,shaped-arches,Shetland,short-row-heel,short-row-toe,short-rows,sideways,slipped-stitches,smocked,star-toe,start-in-middle,stranded,stripes-colorwork,swedish,textured,three-needle-bind,thrums,toe-up,top-cuff-down,top-down,turkish,twined,twisted-stitches,video-tutorial,wide-toe,worked-flat,written-pattern
2013,,83,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,1077,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,
2014,,75,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,1018,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,
2015,,108,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,
2016,,121,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,1043,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,,,,
2017,,164,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,1160,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,
2018,,189,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,1355,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,
2019,,204,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,1360,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,
2020,,216,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,1792,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,
2021,,297,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,1785,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,
2022,,262,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,1592,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,794,,,,,,,,,,,,,,,,,,,,,,,
2023,,186,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,1623,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,,,,,,,,,,