"category","year","tags","tag_count"
"Colorwork",2013,"Intarsia",46
"Colorwork",2013,"corrugated-ribbing",21
"Colorwork",2013,"illusion",1
"Colorwork",2013,"mosaic",22
"Colorwork",2013,"other-colorwork",36
"Colorwork",2013,"stranded",270
"Colorwork",2013,"stripes-colorwork",187
"Colorwork",2014,"Intarsia",40
"Colorwork",2014,"corrugated-ribbing",30
"Colorwork",2014,"illusion",1
"Colorwork",2014,"mosaic",19
"Colorwork",2014,"other-colorwork",50
"Colorwork",2014,"stranded",331
"Colorwork",2014,"stripes-colorwork",231
"Colorwork",2015,"Intarsia",26
"Colorwork",2015,"corrugated-ribbing",27
"Colorwork",2015,"mosaic",21
"Colorwork",2015,"other-colorwork",41
"Colorwork",2015,"stranded",353
"Colorwork",2015,"stripes-colorwork",242
"Colorwork",2016,"Intarsia",23
"Colorwork",2016,"corrugated-ribbing",18
"Colorwork",2016,"mosaic",27
"Colorwork",2016,"other-colorwork",46
"Colorwork",2016,"stranded",341
"Colorwork",2016,"stripes-colorwork",316
"Colorwork",2017,"Intarsia",48
"Colorwork",2017,"corrugated-ribbing",28
"Colorwork",2017,"illusion",3
"Colorwork",2017,"mosaic",45
"Colorwork",2017,"other-colorwork",51
"Colorwork",2017,"stranded",518
"Colorwork",2017,"stripes-colorwork",350
"Colorwork",2018,"Intarsia",41
"Colorwork",2018,"corrugated-ribbing",16
"Colorwork",2018,"mosaic",62
"Colorwork",2018,"other-colorwork",73
"Colorwork",2018,"stranded",538
"Colorwork",2018,"stripes-colorwork",389
"Colorwork",2019,"Intarsia",28
"Colorwork",2019,"corrugated-ribbing",17
"Colorwork",2019,"illusion",1
"Colorwork",2019,"mosaic",96
"Colorwork",2019,"other-colorwork",92
"Colorwork",2019,"stranded",612
"Colorwork",2019,"stripes-colorwork",395
"Colorwork",2020,"Intarsia",33
"Colorwork",2020,"corrugated-ribbing",16
"Colorwork",2020,"illusion",2
"Colorwork",2020,"mosaic",70
"Colorwork",2020,"other-colorwork",137
"Colorwork",2020,"stranded",775
"Colorwork",2020,"stripes-colorwork",471
"Colorwork",2021,"Intarsia",43
"Colorwork",2021,"corrugated-ribbing",16
"Colorwork",2021,"illusion",1
"Colorwork",2021,"mosaic",99
"Colorwork",2021,"other-colorwork",77
"Colorwork",2021,"stranded",812
"Colorwork",2021,"stripes-colorwork",611
"Colorwork",2022,"Intarsia",33
"Colorwork",2022,"corrugated-ribbing",27
"Colorwork",2022,"illusion",1
"Colorwork",2022,"mosaic",106
"Colorwork",2022,"other-colorwork",60
"Colorwork",2022,"stranded",947
"Colorwork",2022,"stripes-colorwork",555
"Colorwork",2023,"Intarsia",40
"Colorwork",2023,"corrugated-ribbing",17
"Colorwork",2023,"illusion",4
"Colorwork",2023,"mosaic",101
"Colorwork",2023,"other-colorwork",84
"Colorwork",2023,"stranded",883
"Colorwork",2023,"stripes-colorwork",540
"Construction",2013,"bias",7
"Construction",2013,"buttonholes",2
"Construction",2013,"doubleknit",4
"Construction",2013,"entrelac",3
"Construction",2013,"freeform",1
"Construction",2013,"gusset",395
"Construction",2013,"icord",9
"Construction",2013,"in-the-round",1221
"Construction",2013,"kitchener",523
"Construction",2013,"modular",9
"Construction",2013,"one-piece",446
"Construction",2013,"provisional",51
"Construction",2013,"seamed",18
"Construction",2013,"seamless",500
"Construction",2013,"selvedge",6
"Construction",2013,"short-rows",210
"Construction",2013,"sideways",10
"Construction",2013,"three-needle-bind",21
"Construction",2013,"thrums",1
"Construction",2013,"twined",2
"Construction",2013,"worked-flat",63
"Construction",2014,"bias",4
"Construction",2014,"bottom-up",3
"Construction",2014,"buttonholes",9
"Construction",2014,"doubleknit",13
"Construction",2014,"entrelac",4
"Construction",2014,"felted",1
"Construction",2014,"gusset",396
"Construction",2014,"icord",11
"Construction",2014,"in-the-round",1225
"Construction",2014,"kitchener",487
"Construction",2014,"modular",15
"Construction",2014,"motifs",1
"Construction",2014,"one-piece",504
"Construction",2014,"provisional",57
"Construction",2014,"seamed",18
"Construction",2014,"seamless",537
"Construction",2014,"selvedge",8
"Construction",2014,"short-rows",226
"Construction",2014,"sideways",6
"Construction",2014,"three-needle-bind",19
"Construction",2014,"twined",3
"Construction",2014,"worked-flat",41
"Construction",2015,"bias",3
"Construction",2015,"bottom-up",1
"Construction",2015,"buttonholes",5
"Construction",2015,"doubleknit",2
"Construction",2015,"entrelac",5
"Construction",2015,"felted",1
"Construction",2015,"gusset",458
"Construction",2015,"icord",8
"Construction",2015,"in-the-round",1258
"Construction",2015,"kitchener",524
"Construction",2015,"modular",11
"Construction",2015,"one-piece",554
"Construction",2015,"provisional",50
"Construction",2015,"seamed",7
"Construction",2015,"seamless",600
"Construction",2015,"selvedge",6
"Construction",2015,"short-rows",258
"Construction",2015,"sideways",10
"Construction",2015,"three-needle-bind",31
"Construction",2015,"twined",4
"Construction",2015,"worked-flat",44
"Construction",2016,"bias",5
"Construction",2016,"bottom-up",3
"Construction",2016,"buttonholes",3
"Construction",2016,"doubleknit",1
"Construction",2016,"entrelac",5
"Construction",2016,"freeform",1
"Construction",2016,"gusset",383
"Construction",2016,"icord",10
"Construction",2016,"in-the-round",1243
"Construction",2016,"kitchener",469
"Construction",2016,"modular",15
"Construction",2016,"one-piece",535
"Construction",2016,"provisional",31
"Construction",2016,"seamed",15
"Construction",2016,"seamless",575
"Construction",2016,"selvedge",7
"Construction",2016,"short-rows",252
"Construction",2016,"sideways",3
"Construction",2016,"three-needle-bind",39
"Construction",2016,"thrums",1
"Construction",2016,"worked-flat",48
"Construction",2017,"bias",3
"Construction",2017,"buttonholes",3
"Construction",2017,"doubleknit",2
"Construction",2017,"entrelac",2
"Construction",2017,"gusset",536
"Construction",2017,"icord",13
"Construction",2017,"in-the-round",1576
"Construction",2017,"kitchener",580
"Construction",2017,"modular",6
"Construction",2017,"one-piece",704
"Construction",2017,"provisional",38
"Construction",2017,"seamed",17
"Construction",2017,"seamless",762
"Construction",2017,"selvedge",3
"Construction",2017,"short-rows",329
"Construction",2017,"sideways",4
"Construction",2017,"three-needle-bind",26
"Construction",2017,"twined",4
"Construction",2017,"worked-flat",37
"Construction",2018,"bias",8
"Construction",2018,"bottom-up",2
"Construction",2018,"buttonholes",3
"Construction",2018,"doubleknit",2
"Construction",2018,"entrelac",4
"Construction",2018,"felted",2
"Construction",2018,"gusset",582
"Construction",2018,"icord",8
"Construction",2018,"in-the-round",1589
"Construction",2018,"kitchener",638
"Construction",2018,"modular",9
"Construction",2018,"one-piece",699
"Construction",2018,"provisional",34
"Construction",2018,"seamed",21
"Construction",2018,"seamless",743
"Construction",2018,"selvedge",8
"Construction",2018,"short-rows",351
"Construction",2018,"sideways",8
"Construction",2018,"three-needle-bind",30
"Construction",2018,"twined",2
"Construction",2018,"worked-flat",50
"Construction",2019,"bias",7
"Construction",2019,"bottom-up",3
"Construction",2019,"buttonholes",3
"Construction",2019,"doubleknit",3
"Construction",2019,"entrelac",3
"Construction",2019,"felted",3
"Construction",2019,"gusset",555
"Construction",2019,"icord",10
"Construction",2019,"in-the-round",1665
"Construction",2019,"kitchener",605
"Construction",2019,"modular",12
"Construction",2019,"motifs",1
"Construction",2019,"one-piece",701
"Construction",2019,"provisional",49
"Construction",2019,"seamed",20
"Construction",2019,"seamless",786
"Construction",2019,"selvedge",5
"Construction",2019,"short-rows",353
"Construction",2019,"sideways",4
"Construction",2019,"three-needle-bind",18
"Construction",2019,"twined",5
"Construction",2019,"worked-flat",53
"Construction",2020,"bias",2
"Construction",2020,"bottom-up",2
"Construction",2020,"doubleknit",2
"Construction",2020,"freeform",1
"Construction",2020,"gusset",739
"Construction",2020,"icord",8
"Construction",2020,"in-the-round",2009
"Construction",2020,"kitchener",743
"Construction",2020,"modular",6
"Construction",2020,"moebius",1
"Construction",2020,"motifs",1
"Construction",2020,"one-piece",817
"Construction",2020,"provisional",60
"Construction",2020,"seamed",15
"Construction",2020,"seamless",933
"Construction",2020,"selvedge",9
"Construction",2020,"short-rows",444
"Construction",2020,"sideways",6
"Construction",2020,"three-needle-bind",30
"Construction",2020,"top-down",2
"Construction",2020,"twined",3
"Construction",2020,"worked-flat",59
"Construction",2021,"bias",2
"Construction",2021,"bottom-up",3
"Construction",2021,"buttonholes",2
"Construction",2021,"doubleknit",4
"Construction",2021,"entrelac",2
"Construction",2021,"felted",2
"Construction",2021,"gusset",719
"Construction",2021,"icord",6
"Construction",2021,"in-the-round",2214
"Construction",2021,"kitchener",921
"Construction",2021,"modular",16
"Construction",2021,"motifs",2
"Construction",2021,"one-piece",1055
"Construction",2021,"provisional",52
"Construction",2021,"seamed",16
"Construction",2021,"seamless",1043
"Construction",2021,"selvedge",17
"Construction",2021,"short-rows",453
"Construction",2021,"sideways",12
"Construction",2021,"three-needle-bind",25
"Construction",2021,"twined",3
"Construction",2021,"worked-flat",68
"Construction",2022,"bias",4
"Construction",2022,"bottom-up",3
"Construction",2022,"buttonholes",3
"Construction",2022,"doubleknit",8
"Construction",2022,"entrelac",1
"Construction",2022,"gusset",620
"Construction",2022,"icord",11
"Construction",2022,"in-the-round",1904
"Construction",2022,"kitchener",714
"Construction",2022,"modular",9
"Construction",2022,"motifs",5
"Construction",2022,"one-piece",849
"Construction",2022,"provisional",47
"Construction",2022,"seamed",15
"Construction",2022,"seamless",856
"Construction",2022,"selvedge",14
"Construction",2022,"short-rows",375
"Construction",2022,"sideways",17
"Construction",2022,"three-needle-bind",24
"Construction",2022,"thrums",1
"Construction",2022,"top-down",1
"Construction",2022,"twined",4
"Construction",2022,"worked-flat",100
"Construction",2023,"bias",2
"Construction",2023,"bottom-up",5
"Construction",2023,"buttonholes",5
"Construction",2023,"doubleknit",8
"Construction",2023,"felted",1
"Construction",2023,"gusset",602
"Construction",2023,"icord",17
"Construction",2023,"in-the-round",1715
"Construction",2023,"kitchener",640
"Construction",2023,"modular",9
"Construction",2023,"motifs",3
"Construction",2023,"one-piece",758
"Construction",2023,"provisional",53
"Construction",2023,"seamed",14
"Construction",2023,"seamless",745
"Construction",2023,"selvedge",15
"Construction",2023,"short-rows",340
"Construction",2023,"sideways",6
"Construction",2023,"three-needle-bind",15
"Construction",2023,"top-down",6
"Construction",2023,"twined",5
"Construction",2023,"worked-flat",69
"Fabric Characteristics",2013,"bobble-or-popcorn",26
"Fabric Characteristics",2013,"brioche-tuck",1
"Fabric Characteristics",2013,"cables",567
"Fabric Characteristics",2013,"chevron",14
"Fabric Characteristics",2013,"dropped-stitches",6
"Fabric Characteristics",2013,"elastic",45
"Fabric Characteristics",2013,"eyelets",154
"Fabric Characteristics",2013,"lace",469
"Fabric Characteristics",2013,"mesh",14
"Fabric Characteristics",2013,"reversible",6
"Fabric Characteristics",2013,"ribbed",609
"Fabric Characteristics",2013,"ripple",12
"Fabric Characteristics",2013,"slipped-stitches",139
"Fabric Characteristics",2013,"smocked",4
"Fabric Characteristics",2013,"textured",340
"Fabric Characteristics",2013,"twisted-stitches",263
"Fabric Characteristics",2014,"bobble-or-popcorn",22
"Fabric Characteristics",2014,"brioche-tuck",1
"Fabric Characteristics",2014,"cables",524
"Fabric Characteristics",2014,"chevron",20
"Fabric Characteristics",2014,"dropped-stitches",6
"Fabric Characteristics",2014,"elastic",31
"Fabric Characteristics",2014,"eyelets",129
"Fabric Characteristics",2014,"lace",423
"Fabric Characteristics",2014,"mesh",9
"Fabric Characteristics",2014,"reversible",10
"Fabric Characteristics",2014,"ribbed",558
"Fabric Characteristics",2014,"ripple",13
"Fabric Characteristics",2014,"slipped-stitches",144
"Fabric Characteristics",2014,"smocked",3
"Fabric Characteristics",2014,"textured",360
"Fabric Characteristics",2014,"twisted-stitches",217
"Fabric Characteristics",2015,"bobble-or-popcorn",26
"Fabric Characteristics",2015,"brioche-tuck",2
"Fabric Characteristics",2015,"cables",559
"Fabric Characteristics",2015,"chevron",18
"Fabric Characteristics",2015,"dropped-stitches",9
"Fabric Characteristics",2015,"elastic",29
"Fabric Characteristics",2015,"eyelets",180
"Fabric Characteristics",2015,"lace",489
"Fabric Characteristics",2015,"mesh",6
"Fabric Characteristics",2015,"reversible",9
"Fabric Characteristics",2015,"ribbed",603
"Fabric Characteristics",2015,"ripple",16
"Fabric Characteristics",2015,"slipped-stitches",160
"Fabric Characteristics",2015,"smocked",7
"Fabric Characteristics",2015,"textured",366
"Fabric Characteristics",2015,"twisted-stitches",235
"Fabric Characteristics",2016,"bobble-or-popcorn",17
"Fabric Characteristics",2016,"brioche-tuck",7
"Fabric Characteristics",2016,"cables",544
"Fabric Characteristics",2016,"chevron",23
"Fabric Characteristics",2016,"dropped-stitches",16
"Fabric Characteristics",2016,"elastic",17
"Fabric Characteristics",2016,"eyelets",165
"Fabric Characteristics",2016,"lace",446
"Fabric Characteristics",2016,"mesh",12
"Fabric Characteristics",2016,"reversible",13
"Fabric Characteristics",2016,"ribbed",544
"Fabric Characteristics",2016,"ripple",8
"Fabric Characteristics",2016,"slipped-stitches",188
"Fabric Characteristics",2016,"smocked",11
"Fabric Characteristics",2016,"textured",375
"Fabric Characteristics",2016,"twisted-stitches",187
"Fabric Characteristics",2017,"bobble-or-popcorn",28
"Fabric Characteristics",2017,"brioche-tuck",10
"Fabric Characteristics",2017,"cables",522
"Fabric Characteristics",2017,"chevron",14
"Fabric Characteristics",2017,"dropped-stitches",8
"Fabric Characteristics",2017,"elastic",40
"Fabric Characteristics",2017,"eyelets",202
"Fabric Characteristics",2017,"lace",488
"Fabric Characteristics",2017,"mesh",11
"Fabric Characteristics",2017,"reversible",17
"Fabric Characteristics",2017,"ribbed",702
"Fabric Characteristics",2017,"ripple",15
"Fabric Characteristics",2017,"slipped-stitches",209
"Fabric Characteristics",2017,"smocked",10
"Fabric Characteristics",2017,"textured",496
"Fabric Characteristics",2017,"twisted-stitches",217
"Fabric Characteristics",2018,"bobble-or-popcorn",38
"Fabric Characteristics",2018,"brioche-tuck",17
"Fabric Characteristics",2018,"cables",618
"Fabric Characteristics",2018,"chevron",12
"Fabric Characteristics",2018,"dropped-stitches",14
"Fabric Characteristics",2018,"elastic",36
"Fabric Characteristics",2018,"eyelets",210
"Fabric Characteristics",2018,"lace",527
"Fabric Characteristics",2018,"mesh",7
"Fabric Characteristics",2018,"reversible",20
"Fabric Characteristics",2018,"ribbed",739
"Fabric Characteristics",2018,"ripple",15
"Fabric Characteristics",2018,"slipped-stitches",287
"Fabric Characteristics",2018,"smocked",6
"Fabric Characteristics",2018,"textured",551
"Fabric Characteristics",2018,"twisted-stitches",245
"Fabric Characteristics",2019,"bobble-or-popcorn",63
"Fabric Characteristics",2019,"brioche-tuck",13
"Fabric Characteristics",2019,"cables",601
"Fabric Characteristics",2019,"chevron",28
"Fabric Characteristics",2019,"dropped-stitches",9
"Fabric Characteristics",2019,"elastic",63
"Fabric Characteristics",2019,"eyelets",211
"Fabric Characteristics",2019,"lace",506
"Fabric Characteristics",2019,"mesh",6
"Fabric Characteristics",2019,"reversible",13
"Fabric Characteristics",2019,"ribbed",750
"Fabric Characteristics",2019,"ripple",12
"Fabric Characteristics",2019,"slipped-stitches",308
"Fabric Characteristics",2019,"smocked",9
"Fabric Characteristics",2019,"textured",622
"Fabric Characteristics",2019,"twisted-stitches",249
"Fabric Characteristics",2020,"bobble-or-popcorn",95
